0130;0130;ALGARROBO PUEDE                                        ;AGRUPACION DE ELECTORES ALGARROBO PUEDE                                                                                 ;FF1515;
0131;0131;AGRUPACIÓN DE ELECTORES 'ALGECIRAS, SÍ SE PUEDE'       ;AGRUPACIÓN DE ELECTORES 'ALGECIRAS, SÍ SE PUEDE'                                                                        ;00F300;
0132;0132;AF                                                     ;AGRUPACIÓN DE ELECTORES ALTERNATIVA FOGARS                                                                              ;FFFF62;
0133;0133;ALPO                                                   ;AGRUPACION DE ELECTORES ALTERNATIVA POZO CAÑADA                                                                         ;C08181;
0134;0134;AV                                                     ;AGRUPACION DE ELECTORES ALTERNATIVA VECIÑAL                                                                             ;B7FFFF;
0135;0135;AEA                                                    ;AGRUPACION DE ELECTORES AMARRAIN                                                                                        ;ABC0A5;
0136;0136;ANDO SATAUTE                                           ;AGRUPACION DE ELECTORES ANDO SATAUTE                                                                                    ;58C7B0;
0137;0137;ASSP                                                   ;AGRUPACION DE ELECTORES ANTEQUERA SI SE PUEDE                                                                           ;DCC569;
0138;0138;AGRUPACION DE ELECTORES ARACENA PUEDE                  ;AGRUPACION DE ELECTORES ARACENA PUEDE                                                                                   ;D0F453;
0139;0139;AB                                                     ;AGRUPACIÓN DE ELECTORES ASPARRENA BIDEAN                                                                                ;4EF8A7;
0140;0140;AGB                                                    ;AGRUPACION DE ELECTORES ASSOCIACIO GUANYEM BENETUSSER                                                                   ;8598AD;
0141;0141;AVANTE                                                 ;AGRUPACIÓN DE ELECTORES AVANTE                                                                                          ;ABC0A5;
0143;0143;AEBenadalidUnido                                       ;AGRUPACION DE ELECTORES BENADALID UNIDO                                                                                 ;EA7CFA;
0144;0144;CsM                                                    ;AGRUPACION DE ELECTORES CABEZON SE MUEVE                                                                                ;96C89D;
0145;0145;C.H./U.A                                               ;AGRUPACIÓN DE ELECTORES CAMBIANDO HUARTE / UHARTE ALDATUZ                                                               ;66FFE0;
0146;0146;A.E.C.I.P.                                             ;AGRUPACION DE ELECTORES CAMBIO INTELIXENTE DE PUNXIN                                                                    ;A4C1BD;
0147;0147;AGRUPACION DE ELECTORES CANDIDATURA COMPROMISO         ;AGRUPACION DE ELECTORES CANDIDATURA COMPROMISO                                                                          ;42A0FF;
0148;0148;AGRUPACION DE ELECTORES CANDIDATURA DE NUESTROS PUEBLOS;AGRUPACION DE ELECTORES CANDIDATURA DE NUESTROS PUEBLOS                                                                 ;6DB6B6;
0149;0149;CIA                                                    ;AGRUPACION DE ELECTORES CANDIDATURA INDEPENDIENTE DE ASPARRENA                                                          ;E100E1;
0150;0150;CID                                                    ;AGRUPACION DE ELECTORES CANDIDATURA INDEPENDIENTE DURCAL                                                                ;B66CFF;
0151;0151;CANGUES PUEDE                                          ;Agrupación de Electores Cangues Puede                                                                                   ;C5C589;
0152;0152;A.E.C.SM.                                              ;AGRUPACIÓN DE ELECTORES CARDEÑAJIMENO-SAN MEDEL                                                                         ;FFBE7D;
0153;0153;A.E.C.P.                                               ;AGRUPACION DE ELECTORES CARTAYA PUBLICA                                                                                 ;FF5959;
0154;0154;CC Veïns                                               ;AGRUPACIÓN DE ELECTORES 'CC VEÏNS PER SANT FELIU'                                                                       ;5EFF5E;
0155;0155;CxC                                                    ;AGRUPACION DE ELECTORES CEHEGIN POR EL CAMBIO                                                                           ;FFFFBB;
0157;0157;Cg                                                     ;AGRUPACIÓN DE ELECTORES CIUDADANA DE GUADALCANAL                                                                        ;D5AAAA;
0158;0158;A.E.C.A.                                               ;AGRUPACIÓN DE ELECTORES CIUDADANOS ALMAGRO                                                                              ;91D9CA;
0159;0159;AGRUPACION DE ELECTORES CIUDADANOS POR ISLA            ;AGRUPACION DE ELECTORES CIUDADANOS POR ISLA                                                                             ;EADCA6;
0160;0160;CXC                                                    ;AGRUPACIÓN DE ELECTORES CIUDADANOS X CONSTANTINA                                                                        ;E2F997;
0161;0161;CP                                                     ;AGRUPACIÓN DE ELECTORES COLMENAREJO PUEDE                                                                               ;9BFBCD;
0162;0162;CIC                                                    ;AGRUPACION DE ELECTORES CORTES INICIATIVA CIUDADANA                                                                     ;AFA5C0;
0163;0163;AGRUPACION DE ELECTORES-CREANDO PUEBLO POR NAVAHERMOSA ;AGRUPACION DE ELECTORES-CREANDO PUEBLO POR NAVAHERMOSA                                                                  ;C1A4AE;
0164;0164;CUBELLES SI ES POT/CUBELLES SI SE PUEDE                ;AGRUPACION DE ELECTORES CUBELLES SI ES POT/CUBELLES SI SE PUEDE                                                         ;F5C4FD;
0165;0165;AEA                                                    ;AGRUPACION DE ELECTORES DE ALAJAR                                                                                       ;ABC0A5;
0166;0166;AEA                                                    ;AGRUPACIÓN DE ELECTORES DE ALDEHUELA DE PERIAÑEZ                                                                        ;ABC0A5;
0167;0167;AGRUPACION DE ELECTORES DE ARBO                        ;AGRUPACION DE ELECTORES DE ARBO                                                                                         ;C1FF66;
0168;0168;AEB                                                    ;AGRUPACION DE ELECTORES DE BENALAURIA                                                                                   ;E9A57C;
0169;0169;AEBR                                                   ;AGRUPACION DE ELECTORES DE BOADILLA DE RIOSECO                                                                          ;A4D1FF;
0170;0170;AECA                                                   ;AGRUPACION DE ELECTORES DE CARIÑO                                                                                       ;91D9CA;
0171;0171;AGRUPACION DE ELECTORES DE CASTRILLO DEL VAL           ;AGRUPACION DE ELECTORES DE CASTRILLO DEL VAL                                                                            ;FF71FF;
